Alter,Geschlecht,Pseudonym,Position,Studiengang,Sportlichkeit,Sportarten,Fav_Sportart,Gesunde_Ernaehrung,Essen_gehen,Kochen,Feiern,Fav_Essen,Musik,Fav_Musik,Lesen,Darstellende_Kunst,Filme,Bildende_Kunst,Museen,Videospiele,Soziale_Medien,Technologie,Astronomie,Naturwissenschaften,Soziales_Engagement,Soziale_Gerechtigkeit,Introvertiert_Extrovertiert,FOMO,Spontan,Verwirrt,Glücklich,Geduldig,Streitlustig,Abenteuerlustig,Studium_Zweifel,Studium_Zufriedenheit,Akademische_Laufbahn,Lerngruppe,Prokrastination,Abgaben_spaet,Neugier_Lebensmittel,Natur,Verreisen,Handwerk,Sprachnachrichten,Wichtigkeit_Geld,Geschlecht_num,Position_num,Studiengang_num,Basketball,Fußball,Handball,Football,Hockey,Volleyball,Tennis,Yoga,Kampfsport,Tanzen,Leichtathletik,Bouldern/Klettern,Schwimmen,Wassersport,Reiten,Wintersport,Rennrad/Mountainbike
23,männlich,Tobbi,Student*in,BMT,4,Tanzen,Tanzen,3,3,3,1,Pfannkuchen,5,Roger Cicero,4,4,4,3,3,2,4,3,4,4,2,3,2,2,3,1,3,5,1,2,2,4,5,3,3,3,4,2,2,1,3,3,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,männlich,Ersan ,Student*in,DAISY,4,Kampfsport,Kraftsport ,4,5,3,1,Döner,3,Keine Angabe,5,2,4,4,1,3,5,4,5,3,3,5,5,5,4,1,3,4,2,4,2,4,5,5,3,5,5,2,2,4,4,5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,weiblich,aw17,Student*in,DAISY,2,Volleyball;Yoga;Tanzen,Volleyball,3,4,5,3,Sushi,5,Mac Miller,2,5,5,5,4,4,5,4,2,1,5,5,4,4,4,4,5,3,1,4,3,4,2,2,4,3,5,4,3,4,5,4,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
25,männlich,899091,Student*in,BMI,2,Basketball;Volleyball,Bogenschießen,3,1,5,1,Gemüsepfanne mit Reis,4,Avatar,2,3,3,2,2,5,3,4,4,3,1,4,2,2,2,3,3,3,1,1,5,2,1,2,5,4,4,2,2,3,3,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,männlich,hmmh,Student*in,MMI,3,Bouldern/Klettern;Wintersport;Rennrad/Mountainbike,Bouldern/Klettern,4,5,5,2,Keine Angabe,3,Keine Angabe,4,2,4,2,3,3,3,5,2,1,4,5,2,3,2,2,3,4,1,4,1,2,1,2,4,3,5,3,4,2,1,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
23,männlich,XORA,Student*in,BMT,3,Handball;Football;Hockey;Schwimmen;Wassersport,Hockey,3,5,5,5,Lasagne,5,Måneskin,3,3,4,3,2,5,4,3,4,5,4,4,3,4,2,3,4,3,2,3,2,4,3,5,4,3,5,3,3,1,3,3,1,0,2,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
24,weiblich,S.R.R.,Student*in,BMT,2,Basketball;Volleyball;Tanzen,Badminton,3,3,4,1,Hamburger,5,Hans Zimmer,4,4,3,5,3,3,1,5,2,3,4,2,3,2,3,1,5,5,1,3,1,5,3,2,2,2,3,3,4,5,1,3,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
29,weiblich,Ysaja,Student*in,BMT,2,Fußball;Tanzen;Reiten,Reiten,4,5,5,4,Tortellini,5,Beethoven,3,4,3,3,4,4,4,5,4,5,4,5,2,4,2,4,3,5,1,3,2,4,3,2,5,4,5,5,4,5,1,3,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
23,weiblich,Btr,Student*in,MMI,3,Yoga;Tanzen,Squash,4,5,5,3,Sushi,5,6lack,4,3,4,3,3,2,4,3,2,1,3,3,4,3,4,2,3,3,2,5,2,3,4,4,5,5,5,3,4,3,4,3,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
28,weiblich,asdf,Student*in,DAISY,3,Bouldern/Klettern;Wassersport,Tauchen,3,4,3,4,Pfannkuchen,4,Antilopen Gang,4,4,4,3,4,4,4,4,4,4,4,4,3,3,2,2,4,4,2,4,4,3,4,2,4,3,3,2,3,4,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
19,männlich,Lm1711,Student*in,DAISY,4,Fußball;Handball;Tennis,Fußball,4,3,3,2,Nudeln,3,NF,2,1,3,1,1,2,4,3,3,3,3,3,2,2,4,1,4,5,2,3,2,4,3,3,2,2,3,3,3,2,2,3,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,männlich,Ark,Student*in,BMI,5,Basketball;Fußball;Tennis,Fußball,5,1,5,1,Yaprak,5,Deathspell Omega,4,3,5,5,4,5,2,1,3,2,3,1,2,3,3,3,3,3,3,3,4,1,3,2,5,5,4,2,2,3,2,3,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
